what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1329605393358
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1329605393358
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1329605393358
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1329605393358
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1329605393358
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1329605393358
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1329605393358
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1329605393358
started,bundle,com.python.pydev,2.4.0.2012020116,"com.python.pydev",1329605393358
started,bundle,com.python.pydev.analysis,2.4.0.2012020116,"com.python.pydev.analysis",1329605393358
started,bundle,com.python.pydev.codecompletion,2.4.0.2012020116,"com.python.pydev.codecompletion",1329605393358
started,bundle,com.python.pydev.refactoring,2.4.0.2012020116,"com.python.pydev.refactoring",1329605393358
started,bundle,org.python.pydev,2.4.0.2012020116,"org.python.pydev",1329605393358
started,bundle,org.python.pydev.core,2.4.0.2012020116,"org.python.pydev.core",1329605393358
started,bundle,org.python.pydev.debug,2.4.0.2012020116,"org.python.pydev.debug",1329605393358
started,bundle,org.python.pydev.django,2.4.0.2012020116,"org.python.pydev.django",1329605393358
started,bundle,org.python.pydev.jython,2.4.0.2012020116,"org.python.pydev.jython",1329605393358
started,bundle,org.python.pydev.parser,2.4.0.2012020116,"org.python.pydev.parser",1329605393358
started,bundle,org.python.pydev.red_core,2.4.0.2012020116,"org.python.pydev.red_core",1329605393358
started,bundle,org.python.pydev.refactoring,2.4.0.2012020116,"org.python.pydev.refactoring",1329605393358
os,sysinfo,,,"win32",1329605393362
arch,sysinfo,,,"x86_64",1329605393362
ws,sysinfo,,,"win32",1329605393362
locale,sysinfo,,,"en_GB",1329605393362
processors,sysinfo,,,"2",1329605393362
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1329605393362
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1329605393362
java.specification.name,sysinfo,,,"Java Platform API Specification",1329605393362
